uniqueID,TP.units,TP.value,TN.units,TN.value,PO4.units,PO4.value,NO3NO2.units,NO3NO2.value,DOC.units,DOC.value,DO.units,DO.value,NH3.units,NH3.value
V100005175,mg/L,0.0825,mg/L,1.969,mg/L,0.0041,mg/L,1.2919,,,mg/L,12.1,,
V100005176,mg/L,0.1409,mg/L,1.6804,mg/L,0.0035,mg/L,0.8889,,,mg/L,14.22,,
V100005177,mg/L,0.0818,mg/L,1.547,mg/L,0.0045,mg/L,0.7801,,,mg/L,14.98,,
V100005178,mg/L,0.1366,mg/L,1.429,mg/L,0.0027,mg/L,0.3741,,,mg/L,11.04,,
V100005179,mg/L,0.1407,mg/L,1.3533,mg/L,0.0036,mg/L,0.3914,,,mg/L,12.04,,
V100005180,mg/L,0.12,mg/L,1.3713,mg/L,0.003,mg/L,0.4577,,,mg/L,9.3,,
V100005181,mg/L,0.1101,mg/L,0.8137,mg/L,0.0054,mg/L,0.0507,,,mg/L,8.28,,
V100005182,mg/L,0.1381,mg/L,1.3752,mg/L,0.0215,mg/L,0.5309,,,mg/L,8.92,,
V100005183,mg/L,0.1646,mg/L,1.1267,mg/L,0.0463,mg/L,0.0842,,,mg/L,6.76,,
V100005184,mg/L,0.1194,mg/L,1.1053,mg/L,0.0273,mg/L,0.2148,,,mg/L,9.68,,
V100005185,mg/L,0.1065,mg/L,0.9755,mg/L,0.0053,mg/L,0.128,,,mg/L,10.04,,
V100005186,mg/L,0.102,mg/L,1.2639,mg/L,0.0036,mg/L,0.4502,,,mg/L,10.56,,
V100005187,mg/L,0.1053,mg/L,1.2302,mg/L,0.002,mg/L,0.3598,,,mg/L,10.2,,
V100005188,mg/L,0.0939,mg/L,1.183,mg/L,0.0012,mg/L,0.213,,,mg/L,13.3,,
V100005189,mg/L,0.1627,mg/L,1.4638,mg/L,0.0014,mg/L,0.2509,,,mg/L,13.8,,
V100005190,mg/L,0.1332,mg/L,1.3754,mg/L,0.0019,mg/L,0.2624,,,mg/L,14.82,,
V100005191,mg/L,0.1618,mg/L,1.2144,mg/L,0.0039,mg/L,0.1296,,,mg/L,11.48,,
V100005192,mg/L,0.1287,mg/L,1.1132,mg/L,0.0033,mg/L,0.1262,,,mg/L,10.4,,
V100005193,mg/L,0.1296,mg/L,1.054,mg/L,0.0029,mg/L,0.07,,,mg/L,10.6,,
V100005194,mg/L,0.1106,mg/L,1.1186,mg/L,0.0063,mg/L,0.4889,,,mg/L,10.06,,
V100005195,mg/L,0.1644,mg/L,0.8719,mg/L,0.0438,mg/L,0.2012,,,mg/L,7.68,,
V100005196,mg/L,0.1539,mg/L,1.5001,mg/L,0.0405,mg/L,0.6459,,,mg/L,6.94,,
V100005197,mg/L,0.1092,mg/L,1.7745,mg/L,0.021,mg/L,1.0225,,,mg/L,10.06,,
V100005198,mg/L,0.0907,mg/L,1.7328,mg/L,0.0131,mg/L,1.0813,,,mg/L,10.32,,
V100005199,mg/L,0.101,mg/L,1.7587,mg/L,0.0041,mg/L,0.9727,,,mg/L,10.84,,
V100005200,mg/L,0.0871,mg/L,1.6049,mg/L,0.0037,mg/L,0.6914,,,mg/L,13.96,,
V100005201,mg/L,0.0951,mg/L,1.8357,mg/L,0.0033,mg/L,0.963,,,mg/L,13.12,,
V100005202,mg/L,0.1018,mg/L,1.6605,mg/L,0.0034,mg/L,0.7441,,,mg/L,13.98,,
V100005203,mg/L,0.118,mg/L,1.4633,mg/L,0.0042,mg/L,0.3858,,,mg/L,12.3,,
V100005204,mg/L,0.1512,mg/L,1.0811,mg/L,0.0033,mg/L,0.1,,,mg/L,9.9,,
V100005205,mg/L,0.1394,mg/L,0.949,mg/L,0.01,mg/L,0.1437,,,mg/L,8.32,,
V100005206,mg/L,0.1866,mg/L,1.1702,mg/L,0.042,mg/L,0.1996,,,mg/L,7.22,,
V100005207,mg/L,0.1958,mg/L,1.2223,mg/L,0.0541,mg/L,0.1696,,,mg/L,7.14,,
V100005208,mg/L,0.1932,mg/L,1.4556,mg/L,0.0369,mg/L,0.6036,,,mg/L,8.42,,
V100005209,mg/L,0.155,mg/L,1.6797,mg/L,0.0218,mg/L,0.8723,,,mg/L,9.32,,
V100005210,mg/L,0.1015,mg/L,1.7823,mg/L,0.0061,mg/L,1.0794,,,mg/L,11.54,,
V100005211,mg/L,0.1062,mg/L,1.7934,mg/L,0.0026,mg/L,1.0241,,,mg/L,12.9,,
V100005212,mg/L,0.1138,mg/L,1.4986,mg/L,0.0028,mg/L,0.6019,,,mg/L,14.78,,
V100005213,mg/L,0.1292,mg/L,1.5739,mg/L,0.0027,mg/L,0.6921,,,mg/L,10.82,,
V100005214,mg/L,0.135,mg/L,1.4067,mg/L,0.0022,mg/L,0.5053,,,mg/L,12.56,,
V100005215,mg/L,0.1363,mg/L,1.1409,mg/L,0.0023,mg/L,0.195,,,mg/L,9.32,,
V100005216,mg/L,0.1365,mg/L,1.0175,mg/L,0.0081,mg/L,0.1022,,,mg/L,8.32,,
V100005217,mg/L,0.1736,mg/L,1.0694,mg/L,0.0123,mg/L,0.035,,,mg/L,5.86,,
V100005218,mg/L,0.1602,mg/L,1.0568,mg/L,0.0055,mg/L,0.0969,,,mg/L,6.8,,
V100005219,mg/L,0.1423,mg/L,1.1899,mg/L,0.0316,mg/L,0.3413,,,mg/L,8.84,,
V100005220,mg/L,0.1467,mg/L,1.191,mg/L,0.0582,mg/L,0.5547,,,mg/L,8.08,,
V100005221,mg/L,0.1541,mg/L,1.8309,mg/L,0.0354,mg/L,1.156,,,mg/L,7.16,,
V100005222,mg/L,0.1338,mg/L,1.833,mg/L,0.0212,mg/L,0.9056,,,mg/L,12.02,,
V100005223,mg/L,0.0966,mg/L,1.4578,mg/L,0.0163,mg/L,0.8534,,,mg/L,11.2,,
V100005224,mg/L,0.0982,mg/L,1.5986,mg/L,0.0074,mg/L,0.9434,,,mg/L,12.34,,
V100005225,mg/L,0.1077,mg/L,1.6251,mg/L,0.0033,mg/L,0.9358,,,mg/L,13.2,,
V100005226,mg/L,0.1204,mg/L,1.7662,mg/L,0.0026,mg/L,1.0036,,,mg/L,12.86,,
V100005227,mg/L,0.1474,mg/L,1.471,mg/L,0.0078,mg/L,0.6944,,,mg/L,11.24,,
V100005228,mg/L,0.1435,mg/L,1.2856,mg/L,0.0029,mg/L,0.1613,,,mg/L,9.72,,
V100005229,mg/L,0.1509,mg/L,0.9139,mg/L,0.0057,mg/L,0.1013,,,mg/L,8.88,,
V100005230,mg/L,0.1494,mg/L,1.2065,mg/L,0.0326,mg/L,0.3941,,,mg/L,7.24,,
V100005231,mg/L,0.1592,mg/L,1.3356,mg/L,0.0434,mg/L,0.7314,,,mg/L,6.58,,
V100005232,mg/L,0.1222,mg/L,1.4164,mg/L,0.0286,mg/L,0.9707,,,mg/L,8.16,,
V100005233,mg/L,0.1842,mg/L,1.5406,mg/L,0.0079,mg/L,0.7186,,,mg/L,9.14,,
V100005234,mg/L,0.1197,mg/L,1.1675,mg/L,0.0068,mg/L,0.6202,,,mg/L,9,,
V100005235,mg/L,0.1134,mg/L,1.5018,mg/L,0.0045,mg/L,1.0466,,,mg/L,9.66,,
V100005236,mg/L,0.0899,mg/L,1.4352,mg/L,0.0049,mg/L,1.1451,,,mg/L,11.04,,
V100005237,mg/L,0.1185,mg/L,1.2012,mg/L,0.0052,mg/L,0.6709,,,mg/L,11.48,,
V100005238,mg/L,0.1409,mg/L,1.4048,mg/L,0.003,mg/L,0.5506,,,mg/L,12.6,,
V100005239,mg/L,0.1614,mg/L,1.8356,mg/L,0.0075,mg/L,0.9764,,,mg/L,10.92,,
V100005240,mg/L,0.1466,mg/L,1.0768,mg/L,0.0022,mg/L,0.1684,,,mg/L,9.54,,
V100005241,mg/L,0.1442,mg/L,1.1123,mg/L,0.0095,mg/L,0.2415,,,mg/L,7.26,,
V100005242,mg/L,0.1561,mg/L,0.9964,mg/L,0.0285,mg/L,0.1464,,,mg/L,9.34,,
V100005243,mg/L,0.1479,mg/L,1.9469,mg/L,0.0449,mg/L,0.2797,,,mg/L,7.62,,
V100005244,mg/L,0.1614,mg/L,1.0797,mg/L,0.0415,mg/L,0.392,,,mg/L,7.92,,
V100005245,mg/L,0.1486,mg/L,1.8001,mg/L,0.0369,mg/L,1.2173,,,mg/L,7.48,,
V100005246,mg/L,0.0803,mg/L,2.1677,mg/L,0.0021,mg/L,1.7433,,,mg/L,11.98,,
V100005247,mg/L,0.1292,mg/L,2.1021,mg/L,0.003,mg/L,1.5655,,,mg/L,10.84,,
V100005248,mg/L,0.0926,mg/L,2.0129,mg/L,5.00E-04,mg/L,1.3257,,,mg/L,12.56,,
V100005249,mg/L,0.1015,mg/L,2.1578,mg/L,0.0021,mg/L,1.2896,,,mg/L,13.6,,
V100005250,mg/L,0.1053,mg/L,1.9712,mg/L,0.0026,mg/L,1.1037,,,mg/L,11.94,,
V100005251,mg/L,0.1407,mg/L,1.7177,mg/L,0.0043,mg/L,0.8248,,,mg/L,9.38,,
V100005252,mg/L,0.1856,mg/L,1.4142,mg/L,0.0104,mg/L,0.1653,,,mg/L,8.54,,
V100005253,mg/L,0.1563,mg/L,1.0221,mg/L,0.0028,mg/L,0.0231,,,mg/L,9.86,,
V100005254,mg/L,0.1601,mg/L,1.3377,mg/L,0.0322,mg/L,0.4685,,,mg/L,6.88,,
V100005255,mg/L,0.1457,mg/L,1.1102,mg/L,0.0439,mg/L,0.378,,,mg/L,6.56,,
V100005256,mg/L,0.1638,mg/L,1.3739,mg/L,0.0578,mg/L,0.5878,,,mg/L,8.34,,
V100005257,mg/L,0.1641,mg/L,1.5077,mg/L,0.0525,mg/L,0.917,,,mg/L,7.84,,
V100005258,mg/L,0.1216,mg/L,1.7756,mg/L,0.021,mg/L,1.2371,,,mg/L,9.14,,
V100005259,mg/L,0.0983,mg/L,1.5213,mg/L,0.0034,mg/L,0.8408,,,mg/L,11.34,,
V100005260,mg/L,0.0968,mg/L,1.4269,mg/L,0.0022,mg/L,0.6442,,,mg/L,16.2,,
V100005261,mg/L,0.1153,mg/L,1.4746,mg/L,0.0021,mg/L,0.6282,,,mg/L,13.12,,
V100005262,mg/L,0.1472,mg/L,1.5347,mg/L,0.0035,mg/L,0.6447,,,mg/L,14.2,,
V100005263,mg/L,0.2106,mg/L,1.4761,mg/L,0.0073,mg/L,0.3237,,,mg/L,10.76,,
V100005264,mg/L,0.1367,mg/L,1.0832,mg/L,0.0046,mg/L,0.1319,,,mg/L,10.34,,
V100005265,mg/L,0.1672,mg/L,0.9518,mg/L,0.006,mg/L,0.0501,,,mg/L,9.2,,
V100005266,mg/L,0.1198,mg/L,1.1142,mg/L,0.0212,mg/L,0.4324,,,mg/L,8,,
V100005267,mg/L,0.1432,mg/L,1.1737,mg/L,0.023,mg/L,0.2683,,,mg/L,6.94,,
V100005268,mg/L,0.1598,mg/L,0.7656,mg/L,0.0416,mg/L,0.1835,,,mg/L,6.84,,
V100005269,mg/L,0.1205,mg/L,1.4718,mg/L,0.02,mg/L,0.8466,,,mg/L,10.74,,
V100005270,mg/L,0.1459,mg/L,1.5861,mg/L,0.0045,mg/L,0.7288,,,mg/L,9.82,,
V100005271,mg/L,0.103,mg/L,1.5888,mg/L,0.0015,mg/L,0.8814,,,mg/L,11.76,,
V100005272,mg/L,0.1672,mg/L,2.0628,mg/L,0.0074,mg/L,1.1196,,,mg/L,11.92,,
V100005273,mg/L,0.1246,mg/L,1.9103,mg/L,0.003,mg/L,1.0469,,,mg/L,13.46,,
V100005274,mg/L,0.1423,mg/L,1.6787,mg/L,0.0024,mg/L,0.4534,,,mg/L,12.3,,
V100005275,mg/L,0.1615,mg/L,1.5741,mg/L,0.0032,mg/L,0.2693,,,mg/L,11.54,,
V100005276,mg/L,0.1382,mg/L,1.1686,mg/L,0.0055,mg/L,0.1425,,,mg/L,10.6,,
V100005277,mg/L,0.1356,mg/L,1.0566,mg/L,0.0106,mg/L,0.0426,,,mg/L,10.38,,
V100005278,mg/L,0.1641,mg/L,1.34,mg/L,0.0273,mg/L,0.2431,,,mg/L,7.2,,
V100005279,mg/L,0.1246,mg/L,1.3338,mg/L,0.008,mg/L,0.219,,,mg/L,9.76,,
V100005280,mg/L,0.1554,mg/L,1.4161,mg/L,0.0241,mg/L,0.16,,,mg/L,10.26,,
V100005281,mg/L,0.1309,mg/L,1.4377,mg/L,0.0167,mg/L,0.4008,,,mg/L,10.12,,
V100005282,mg/L,0.1124,mg/L,1.5294,mg/L,0.0072,mg/L,0.6724,,,mg/L,10.04,,
V100005283,mg/L,0.1039,mg/L,1.4702,mg/L,0.0018,mg/L,0.5407,,,mg/L,13.26,,
V100005284,mg/L,0.108,mg/L,1.5272,mg/L,0.0022,mg/L,0.6226,,,mg/L,14.12,,
V100005285,mg/L,0.1256,mg/L,1.507,mg/L,0.0011,mg/L,0.4668,,,mg/L,14.16,,
V100005286,mg/L,0.1319,mg/L,1.525,mg/L,9.00E-04,mg/L,0.2683,,,mg/L,12.44,,
V100005287,mg/L,0.1005,mg/L,1.7338,mg/L,0.0073,mg/L,0.3729,,,mg/L,10,,
V100005288,mg/L,0.1531,mg/L,1.4075,mg/L,0.0014,mg/L,0.1002,,,mg/L,12.08,,
V100005289,mg/L,0.1222,mg/L,1.3618,mg/L,0.003,mg/L,0.1416,,,mg/L,11.38,,
V100005290,mg/L,0.1247,mg/L,1.193,mg/L,0.0126,mg/L,0.2574,,,mg/L,8.8,,
V100005291,mg/L,0.1426,mg/L,1.1925,mg/L,0.0341,mg/L,0.1327,,,mg/L,8.54,,
V100005292,mg/L,0.1172,mg/L,1.6755,mg/L,0.0253,mg/L,0.9531,,,mg/L,7.68,,
V100005293,mg/L,0.1089,mg/L,1.6641,mg/L,0.0147,mg/L,0.9902,,,mg/L,8,,
V100005294,mg/L,0.1002,mg/L,1.5788,mg/L,0.0047,mg/L,0.8253,,,mg/L,9.7,,
V100005295,mg/L,0.0832,mg/L,1.5114,mg/L,0.0022,mg/L,0.8117,,,mg/L,12.34,,
V100005296,mg/L,0.091,mg/L,1.5983,mg/L,0.0023,mg/L,0.6622,,,mg/L,14.24,,
V100005297,mg/L,0.1014,mg/L,1.7114,mg/L,0.0019,mg/L,0.7766,,,mg/L,12.82,,
V100005298,mg/L,0.1337,mg/L,1.7391,mg/L,0.0024,mg/L,0.6648,,,mg/L,11.6,,
V100005299,mg/L,0.1303,mg/L,1.6123,mg/L,0.0023,mg/L,0.3149,,,mg/L,12.54,,
V100005300,mg/L,0.1322,mg/L,1.2664,mg/L,0.0027,mg/L,0.0832,,,mg/L,11.02,,
V100005301,mg/L,0.1425,mg/L,1.1839,mg/L,0.0121,mg/L,0.178,,,mg/L,10.5,,
V100005302,mg/L,0.1583,mg/L,1.3826,mg/L,0.0401,mg/L,0.373,,,mg/L,7.24,,
V100005303,mg/L,0.1437,mg/L,1.5065,mg/L,0.0382,mg/L,0.3749,,,mg/L,9.1,,
V100005304,mg/L,0.1606,mg/L,1.3249,mg/L,0.0268,mg/L,0.3147,,,mg/L,9,,
V100005305,mg/L,0.1378,mg/L,1.2821,mg/L,0.0358,mg/L,0.4034,,,mg/L,6.94,,
V100005306,mg/L,0.0956,mg/L,1.3984,mg/L,0.0045,mg/L,0.637,,,mg/L,9.92,,
V100005307,mg/L,0.0882,mg/L,1.8207,mg/L,0.0034,mg/L,0.9931,,,mg/L,10.24,,
V100005308,mg/L,0.1047,mg/L,1.4688,mg/L,0.0018,mg/L,0.7129,,,mg/L,12.6,,
V100005309,mg/L,0.1207,mg/L,1.6823,mg/L,0.0018,mg/L,0.6287,,,mg/L,12.02,,
V100005310,mg/L,0.127,mg/L,1.6894,mg/L,0.0022,mg/L,0.6937,,,mg/L,12.32,,
V100005311,mg/L,0.1434,mg/L,1.57,mg/L,0.0019,mg/L,0.3859,,,mg/L,12.54,,
V100005312,mg/L,0.1416,mg/L,1.352,mg/L,0.0027,mg/L,0.219,,,mg/L,9.7,,
V100005313,mg/L,0.1472,mg/L,1.1825,mg/L,0.0129,mg/L,0.0976,,,mg/L,8.3,,
V100005314,mg/L,0.1476,mg/L,1.4856,mg/L,0.0367,mg/L,0.4143,,,mg/L,7.68,,
V100005315,mg/L,0.1884,mg/L,1.3372,mg/L,0.061,mg/L,0.265,,,mg/L,8.34,,
V100005316,mg/L,0.2259,mg/L,1.2403,mg/L,0.0895,mg/L,0.1376,,,mg/L,5.72,,
V100005317,mg/L,0.1033,mg/L,1.66,mg/L,0.0151,mg/L,1.0032,,,mg/L,9.84,,
V100005318,mg/L,0.1012,mg/L,1.8706,mg/L,0.0115,mg/L,1.3511,,,mg/L,10.04,,
V100005319,mg/L,0.0852,mg/L,1.7222,mg/L,0.0031,mg/L,1.1675,,,mg/L,10.78,,
V100005320,mg/L,0.0589,mg/L,1.8072,mg/L,0.0016,mg/L,1.3257,,,mg/L,12.9,,
V100005321,mg/L,0.0697,mg/L,1.7823,mg/L,0.0015,mg/L,1.217,,,mg/L,12.76,,
V100005322,mg/L,0.0671,mg/L,1.8807,mg/L,0.0013,mg/L,1.055,,,mg/L,13.5,,
V100005323,mg/L,0.0891,mg/L,1.4778,mg/L,0.0022,mg/L,0.4039,,,mg/L,11.96,,
V100005324,mg/L,0.1062,mg/L,1.3612,mg/L,0.0011,mg/L,0.1606,,,mg/L,11.48,,
V100005325,mg/L,0.1042,mg/L,1.3228,mg/L,0.0066,mg/L,0.1258,,,mg/L,9,,
V100005326,mg/L,0.1011,mg/L,1.3421,mg/L,0.0162,mg/L,0.3518,,,mg/L,8.98,,
V100005327,mg/L,0.1667,mg/L,1.4509,mg/L,0.0206,mg/L,0.0058,,,mg/L,12.94,,
V100005328,mg/L,0.1465,mg/L,1.65,mg/L,0.036,mg/L,0.6832,,,mg/L,9.2,,
V100005329,mg/L,0.0881,mg/L,1.7707,mg/L,0.0136,mg/L,1.0566,,,mg/L,9.2,,
V100005330,mg/L,0.0815,mg/L,1.7826,mg/L,0.0039,mg/L,1.0619,,,mg/L,9.96,,
V100005331,mg/L,0.0813,mg/L,1.7224,mg/L,0.0035,mg/L,0.873,,,mg/L,10.68,,
V100005332,mg/L,0.0607,mg/L,1.6736,mg/L,0.0031,mg/L,0.8943,,,mg/L,13.72,,
V100005333,mg/L,0.0639,mg/L,1.5792,mg/L,0.001,mg/L,0.7913,,,mg/L,12.96,,
V100005334,mg/L,0.0694,mg/L,1.6149,mg/L,0.002,mg/L,0.8044,,,mg/L,13.38,,
V100005335,mg/L,0.087,mg/L,1.5529,mg/L,0.0038,mg/L,0.7302,,,mg/L,11.42,,
V100005336,mg/L,0.0723,mg/L,1.6595,mg/L,0.0114,mg/L,0.886,,,mg/L,10.08,,
V100005337,mg/L,0.1002,mg/L,1.5692,mg/L,0.0043,mg/L,0.5909,,,mg/L,9.88,,
V100005338,mg/L,0.1384,mg/L,1.3542,mg/L,0.0206,mg/L,0.2327,,,mg/L,10.32,,
V100005339,mg/L,0.1725,mg/L,1.3607,mg/L,0.0718,mg/L,0.1104,,,mg/L,6.18,,
V100005340,mg/L,0.1573,mg/L,1.4532,mg/L,0.0383,mg/L,0.3074,,,mg/L,9.16,,
V100005341,mg/L,0.1043,mg/L,1.3724,mg/L,0.0334,mg/L,0.7018,,,mg/L,9.36,,
V100005342,mg/L,0.0839,mg/L,1.4407,mg/L,0.0026,mg/L,0.5873,,,mg/L,12.08,,
V100005343,mg/L,0.0631,mg/L,1.1924,mg/L,0.0054,mg/L,0.5241,,,mg/L,15.32,,
V100005344,mg/L,0.0665,mg/L,1.4196,mg/L,0.0031,mg/L,0.6347,,,mg/L,14.52,,
V100005345,mg/L,0.0761,mg/L,1.3601,mg/L,0.0027,mg/L,0.5986,,,mg/L,18.02,,
V100005346,mg/L,0.0892,mg/L,1.4238,mg/L,0.0027,mg/L,0.506,,,mg/L,12.9,,
V100005347,mg/L,0.0738,mg/L,1.5712,mg/L,0.0037,mg/L,0.7457,,,mg/L,11.44,,
V100005348,mg/L,0.1008,mg/L,1.0375,mg/L,0.0023,mg/L,0.1503,,,mg/L,10.3,,
V100005349,mg/L,0.1124,mg/L,0.9417,mg/L,0.0058,mg/L,0.063,,,mg/L,7.64,,
V100005350,mg/L,0.0847,mg/L,0.8224,mg/L,0.0055,mg/L,0.0438,,,mg/L,10.14,,
V100005351,mg/L,0.1175,mg/L,1.1043,mg/L,0.0188,mg/L,0.0665,,,mg/L,9.08,,
V100005352,mg/L,0.137,mg/L,1.5073,mg/L,0.0387,mg/L,0.6292,,,mg/L,7.6,,
V100005353,mg/L,0.1066,mg/L,1.4035,mg/L,0.0161,mg/L,0.6696,,,mg/L,9.04,,
V100005354,mg/L,0.068,mg/L,1.7482,mg/L,0.0047,mg/L,1.2861,,,mg/L,11.14,,
V100005355,mg/L,0.067,mg/L,1.6162,mg/L,0.003,mg/L,0.9927,,,mg/L,12.06,,
V100005356,mg/L,0.0506,mg/L,1.532,mg/L,0.0012,mg/L,0.962,,,mg/L,8.36,,
V100005357,mg/L,0.0616,mg/L,1.6235,mg/L,9.00E-04,mg/L,1.0071,,,mg/L,15.86,,
V100005358,mg/L,0.0706,mg/L,1.8749,mg/L,0.0021,mg/L,1.1639,,,mg/L,10.24,,
V100005359,mg/L,0.0799,mg/L,1.8446,mg/L,0.0028,mg/L,1.0199,,,mg/L,13.68,,
V100005360,mg/L,0.1131,mg/L,1.4487,mg/L,0.0022,mg/L,0.398,,,mg/L,10.28,,
V100005361,mg/L,0.101,mg/L,1.1629,mg/L,0.0338,mg/L,0.3336,,,mg/L,9.62,,
V100005362,mg/L,0.1234,mg/L,1.3282,mg/L,0.013,mg/L,0.258,,,mg/L,8.18,,
V100005363,mg/L,0.1287,mg/L,1.2813,mg/L,0.0588,mg/L,0.2312,,,mg/L,7.74,,
V100005364,mg/L,0.083,mg/L,1.3971,mg/L,0.0176,mg/L,0.511,,,mg/L,9.2,,
V100005365,mg/L,0.1012,mg/L,1.5136,mg/L,0.0278,mg/L,0.4949,,,mg/L,9,,
V100005366,mg/L,0.0646,mg/L,1.6412,mg/L,0.0033,mg/L,0.7293,,,mg/L,11.4,,
V100005367,mg/L,0.0847,mg/L,1.5973,mg/L,0.0011,mg/L,0.743,,,mg/L,11.9,,
V100005368,mg/L,0.0591,mg/L,1.6285,mg/L,2.00E-04,mg/L,0.8989,,,mg/L,13.48,,
V100005369,mg/L,0.0563,mg/L,1.6779,mg/L,9.00E-04,mg/L,0.9132,,,mg/L,12.72,,
V100005370,mg/L,0.0712,mg/L,1.7561,mg/L,0.0012,mg/L,0.9414,,,mg/L,15.98,,
V100005371,mg/L,0.0861,mg/L,1.1907,mg/L,0.007,mg/L,0.5851,,,mg/L,15.04,,
V100005372,mg/L,0.1184,mg/L,0.9229,mg/L,0.0024,mg/L,0.0587,,,mg/L,10.96,,
V100005373,mg/L,0.1118,mg/L,1.1656,mg/L,0.0125,mg/L,0.0677,,,mg/L,10.36,,
V100005374,mg/L,0.1286,mg/L,1.2034,mg/L,0.0275,mg/L,0.3279,,,mg/L,12.88,,
V100005375,mg/L,0.1876,mg/L,1.0596,mg/L,0.0746,mg/L,0.0352,,,mg/L,8.4,,
V100005376,mg/L,0.1311,mg/L,1.4583,mg/L,0.0468,mg/L,0.7017,,,mg/L,9.6,,
V100005377,mg/L,0.0883,mg/L,1.4717,mg/L,0.006,mg/L,0.6623,,,mg/L,12.18,,
V100005378,mg/L,0.0862,mg/L,1.4154,mg/L,0.0089,mg/L,0.6221,,,mg/L,9.84,,
V100005379,mg/L,0.0666,mg/L,1.4099,mg/L,4.00E-04,mg/L,0.6959,,,mg/L,15.1,,
V100005380,mg/L,0.0601,mg/L,1.3742,mg/L,5.00E-04,mg/L,0.6957,,,mg/L,18.64,,
V100005381,mg/L,0.0706,mg/L,1.4505,mg/L,1.00E-04,mg/L,0.6567,,,mg/L,18.66,,
V100005382,mg/L,0.0854,mg/L,1.3158,mg/L,0.0033,mg/L,0.4791,,,mg/L,12.74,,
V100005383,mg/L,0.117,mg/L,1.2641,mg/L,3.00E-04,mg/L,0.2252,,,mg/L,13.24,,
V100005384,mg/L,0.1065,mg/L,0.8698,mg/L,0.0023,mg/L,0.0762,,,mg/L,9.28,,
V100005385,mg/L,0.1235,mg/L,0.9946,mg/L,0.0072,mg/L,0.062,,,mg/L,8.32,,
V100005386,mg/L,0.1251,mg/L,1.0549,mg/L,0.017,mg/L,0.0852,,,,,,
V100005387,mg/L,0.164,mg/L,1.1403,mg/L,0.0457,mg/L,0.1662,,,mg/L,7.32,,
V100005388,mg/L,0.1138,mg/L,1.0546,mg/L,0.0219,mg/L,0.2917,,,mg/L,7.38,,
V100005389,mg/L,0.0888,mg/L,1.3551,mg/L,0.0199,mg/L,0.8085,,,mg/L,9.84,,
V100005390,mg/L,0.0907,mg/L,1.5057,mg/L,0.0061,mg/L,0.7591,,,mg/L,11.24,,
V100005391,mg/L,0.0674,mg/L,1.2226,mg/L,9.00E-04,mg/L,0.7195,,,mg/L,13.66,,
V100005392,mg/L,0.0175,,,,,,,,,,,,
V100005393,mg/L,0.0075,,,,,,,,,,,,
V100005394,mg/L,0.0325,,,,,,,,,,,,
V100005395,mg/L,0.0295,,,,,,,,,,,,
V100005396,mg/L,0.06,,,,,,,,,,,,
V100005397,mg/L,0.043,,,,,,,,,,,,
V100005398,mg/L,0.0345,,,,,,,,,,,,
V100005399,mg/L,0.03,,,,,,,,,,,,
V100005400,mg/L,0.046,,,,,,,,,,,,
V100005401,mg/L,0.066,,,,,,,,,,,,
V100005402,mg/L,0.06,,,,,,,,,,,,
V100005403,mg/L,0.036,,,,,,,,,,,,
V100005404,mg/L,0.041,,,,,,,,,,,,
V100005405,mg/L,0.037,,,,,,,,,,,,
V100005406,mg/L,0.04,,,,,,,,,,,,
V100005407,mg/L,0.026,,,,,,,,,,,,
V100005408,mg/L,0.028,,,,,,,,,,,,
V100005409,mg/L,0.03566667,,,,,,,,,,,,
V100005410,mg/L,0.03033333,,,,,,,,,,,,
V100005411,mg/L,0.044,,,,,,,,,,,,
V100005412,mg/L,0.0445,,,,,,,,,,,,
V100005413,mg/L,0.044,,,,,,,,,,,,
V100005414,mg/L,0.043,,,,,,,,,,,,
V100005415,mg/L,0.0375,,,,,,,,,,,,
V100005416,mg/L,0.037,,,,,,,,,,,,
V100005417,mg/L,0.026,,,,,,,,,,,,
V100005418,mg/L,0.037,,,,,,,,,,,,
V100005419,mg/L,0.039,,,,,,,,,,,,
V100005420,mg/L,0.037,,,,,,,,,,,,
V100005421,mg/L,0.03,,,,,,,,,,,,
V100005422,mg/L,0.0455,,,,,,,,,,,,
V100005423,mg/L,0.036,,,,,,,,,,,,
V100005424,mg/L,0.0165,,,,,,,,,,,,
V100005425,mg/L,0.021,,,,,,,,,,,,
V100005426,mg/L,0.018,,,,,,,,,,,,
V100005427,mg/L,0.05,,,,,,,,,,,,
V100005428,mg/L,0.047,,,,,,,,,,,,
V100005429,mg/L,0.066,,,,,,,,,,,,
V100005430,mg/L,0.071,,,,,,,,,,,,
V100005431,mg/L,0.01216667,mg/L,0.34,,,,,,,mg/L,0.010863,,
V100005432,mg/L,0.0245,mg/L,0.77,,,,,,,mg/L,0.01164667,,
V100005433,mg/L,0.044425,mg/L,1.16,,,,,,,mg/L,0.010388,,
V100005434,mg/L,0.0238375,mg/L,1.08,,,,,,,mg/L,0.00846864,,
V100005435,mg/L,0.03458333,mg/L,0.77,,,,,,,mg/L,0.00739235,,
V100005436,mg/L,0.0442375,mg/L,0.82,,,,,,,mg/L,0.00818609,,
V100005437,mg/L,0.0405875,mg/L,0.78,,,,,,,mg/L,0.00907318,,
V100005438,mg/L,0.05123333,mg/L,0.77,,,,,,,mg/L,0.01036625,,
V100005439,mg/L,0.0292,mg/L,0.74,,,,,,,,,,
